"ｺ-ﾄﾞ","中分類ｺ-ﾄﾞ","統合中分類(108部門)部門名","列ｺ-ﾄﾞ","基本分類列(397部門)部門名","和歌山県（百万円）","全国（百万円）","対全国比（％）"
"011_耕種農業","011","耕種農業","","","107649.0","6042979.0","1.7813896093301"
"011_耕種農業_0111-01_米","011","耕種農業","0111-01","米","8878.0","1935574.0","0.4586753076865054"
"011_耕種農業_0111-02_麦類","011","耕種農業","0111-02","麦類","0.0","39735.0","0.0"
"011_耕種農業_0112-01_いも類","011","耕種農業","0112-01","いも類","160.0","216534.0","0.07389139811761664"
"011_耕種農業_0112-02_豆類","011","耕種農業","0112-02","豆類","7.0","60647.0","0.011542203241710226"
"011_耕種農業_0113-01_野菜（露地）","011","耕種農業","0113-01","野菜（露地）","9714.0","1452367.0","0.6688392121275132"
"011_耕種農業_0113-02_野菜（施設）","011","耕種農業","0113-02","野菜（施設）","5605.0","681902.0","0.8219656196931524"
"011_耕種農業_0114-01_果実","011","耕種農業","0114-01","果実","73805.0","770317.0","9.581120499742314"
"011_耕種農業_0115-01_砂糖原料作物","011","耕種農業","0115-01","砂糖原料作物","0.0","60460.0","0.0"
"011_耕種農業_0115-02_飲料用作物","011","耕種農業","0115-02","飲料用作物","59.0","83704.0","0.07048647615406671"
"011_耕種農業_0115-09_その他の食用耕種作物","011","耕種農業","0115-09","その他の食用耕種作物","1.0","18869.0","0.005299697917218718"
"011_耕種農業_0116-01_飼料作物","011","耕種農業","0116-01","飼料作物","15.0","220869.0","0.0067913559621313995"
"011_耕種農業_0116-02_種苗","011","耕種農業","0116-02","種苗","3722.0","91589.0","4.063806789024882"
"011_耕種農業_0116-03_花き・花木類","011","耕種農業","0116-03","花き・花木類","5621.0","357297.0","1.573201006445618"
"011_耕種農業_0116-09_その他の非食用耕種作物","011","耕種農業","0116-09","その他の非食用耕種作物","62.0","53115.0","0.11672785465499388"
"012_畜産","012","畜産","","","5692.0","2931476.0","0.1941683984450154"
"012_畜産_0121-01_酪農","012","畜産","0121-01","酪農","547.0","835927.0","0.06543633594799546"
"012_畜産_0121-02_肉用牛","012","畜産","0121-02","肉用牛","710.0","724193.0","0.09804016332662703"
"012_畜産_0121-03_豚","012","畜産","0121-03","豚","182.0","540896.0","0.0336478731586109"
"012_畜産_0121-04_鶏卵","012","畜産","0121-04","鶏卵","1664.0","474165.0","0.3509326922062995"
"012_畜産_0121-05_肉鶏","012","畜産","0121-05","肉鶏","2140.0","301389.0","0.7100458211812641"
"012_畜産_0121-09_その他の畜産","012","畜産","0121-09","その他の畜産","449.0","54906.0","0.8177612647069538"
"013_農業サ－ビス","013","農業サ－ビス","","","5547.0","851259.0","0.6516230665402656"
"013_農業サ－ビス_0131-01_獣医業","013","農業サ－ビス","0131-01","獣医業","1777.0","385206.0","0.46131160989185005"
"013_農業サ－ビス_0131-02_農業サービス（獣医業を除く。）","013","農業サ－ビス","0131-02","農業サービス（獣医業を除く。）","3770.0","466053.0","0.808920873806198"
"015_林業","015","林業","","","7222.0","775746.0","0.9309748293900324"
"015_林業_0151-01_育林","015","林業","0151-01","育林","3086.0","338649.0","0.9112680090595278"
"015_林業_0152-01_素材","015","林業","0152-01","素材","2189.0","219727.0","0.9962362386051783"
"015_林業_0153-01_特用林産物（狩猟業を含む。）","015","林業","0153-01","特用林産物（狩猟業を含む。）","1947.0","217370.0","0.8957077793623776"
"017_漁業","017","漁業","","","14472.0","1434502.0","1.0088518524198642"
"017_漁業_0171-01_海面漁業","017","漁業","0171-01","海面漁業","9579.0","939952.0","1.0190945920642756"
"017_漁業_0171-02_海面養殖業","017","漁業","0171-02","海面養殖業","3331.0","396598.0","0.8398932924523069"
"017_漁業_0172-01_内水面漁業","017","漁業","0172-01","内水面漁業","14.0","20246.0","0.0691494616220488"
"017_漁業_0172-02_内水面養殖業","017","漁業","0172-02","内水面養殖業","1548.0","77706.0","1.992124160296502"
"061_金属鉱物","061","金属鉱物","","","0.0","31219.0","0.0"
"061_金属鉱物_0611-01_金属鉱物","061","金属鉱物","0611-01","金属鉱物","0.0","31219.0","0.0"
"062_石炭・原油・天然ガス","062","石炭・原油・天然ガス","","","0.0","195889.0","0.0"
"062_石炭・原油・天然ガス_0621-01_石炭・原油・天然ガス","062","石炭・原油・天然ガス","0621-01","石炭・原油・天然ガス","0.0","195889.0","0.0"
"063_非金属鉱物","063","非金属鉱物","","","2345.0","532872.0","0.4400681589574983"
"063_非金属鉱物_0631-01_砂利・採石","063","非金属鉱物","0631-01","砂利・採石","660.0","168089.0","0.39264913230490983"
"063_非金属鉱物_0631-02_砕石","063","非金属鉱物","0631-02","砕石","1685.0","253474.0","0.6647624608441103"
"063_非金属鉱物_0639-09_その他の鉱物","063","非金属鉱物","0639-09","その他の鉱物","0.0","111309.0","0.0"
"111_食料品","111","食料品","","","137538.0","2.5620219E7","0.5368338186336346"
"111_食料品_1111-01_食肉","111","食料品","1111-01","食肉","4307.0","1842793.0","0.23372131324570908"
"111_食料品_1112-01_肉加工品","111","食料品","1112-01","肉加工品","1458.0","837709.0","0.1740461186402438"
"111_食料品_1112-02_畜産びん・かん詰","111","食料品","1112-02","畜産びん・かん詰","0.0","48304.0","0.0"
"111_食料品_1112-03_酪農品","111","食料品","1112-03","酪農品","428.0","1961162.0","0.021823796300356624"
"111_食料品_1113-01_冷凍魚介類","111","食料品","1113-01","冷凍魚介類","2135.0","1020583.0","0.2091941566731956"
"111_食料品_1113-02_塩・干・くん製品","111","食料品","1113-02","塩・干・くん製品","7188.0","448964.0","1.6010192353952655"
"111_食料品_1113-03_水産びん・かん詰","111","食料品","1113-03","水産びん・かん詰","17.0","116667.0","0.01457138693889446"
"111_食料品_1113-04_ねり製品","111","食料品","1113-04","ねり製品","1661.0","375834.0","0.44195043556463753"
"111_食料品_1113-09_その他の水産食品","111","食料品","1113-09","その他の水産食品","6355.0","795756.0","0.7986116347222013"
"111_食料品_1114-01_精穀","111","食料品","1114-01","精穀","18579.0","2222851.0","0.8358185051539667"
"111_食料品_1114-02_製粉","111","食料品","1114-02","製粉","2.0","605166.0","3.304878330904248E-4"
"111_食料品_1115-01_めん類","111","食料品","1115-01","めん類","2040.0","919468.0","0.22186742768644474"
"111_食料品_1115-02_パン類","111","食料品","1115-02","パン類","2324.0","1507222.0","0.1541909552806421"
"111_食料品_1115-03_菓子類","111","食料品","1115-03","菓子類","9470.0","3001221.0","0.31553824260192764"
"111_食料品_1116-01_農産びん・かん詰","111","食料品","1116-01","農産びん・かん詰","3455.0","208738.0","1.6551849687167646"
"111_食料品_1116-02_農産保存食料品（びん・かん詰を除く。）","111","食料品","1116-02","農産保存食料品（びん・かん詰を除く。）","41765.0","608148.0","6.867571709518078"
"111_食料品_1117-01_砂糖","111","食料品","1117-01","砂糖","0.0","397204.0","0.0"
"111_食料品_1117-02_でん粉","111","食料品","1117-02","でん粉","0.0","199789.0","0.0"
"111_食料品_1117-03_ぶどう糖・水あめ・異性化糖","111","食料品","1117-03","ぶどう糖・水あめ・異性化糖","82.0","174179.0","0.04707800595938661"
"111_食料品_1117-04_動植物油脂","111","食料品","1117-04","動植物油脂","1188.0","634672.0","0.18718330098066405"
"111_食料品_1117-05_調味料","111","食料品","1117-05","調味料","3991.0","1672525.0","0.23862124631918807"
"111_食料品_1119-01_冷凍調理食品","111","食料品","1119-01","冷凍調理食品","2027.0","522120.0","0.38822492913506473"
"111_食料品_1119-02_レトルト食品","111","食料品","1119-02","レトルト食品","1736.0","215893.0","0.8041020320251236"
"111_食料品_1119-03_そう菜・すし・弁当","111","食料品","1119-03","そう菜・すし・弁当","10979.0","2135915.0","0.5140185822001344"
"111_食料品_1119-04_学校給食（国公立）★★","111","食料品","1119-04","学校給食（国公立）★★","4299.0","657057.0","0.6542811354266068"
"111_食料品_1119-05_学校給食（私立）★","111","食料品","1119-05","学校給食（私立）★","0.0","6196.0","0.0"
"111_食料品_1119-09_その他の食料品","111","食料品","1119-09","その他の食料品","12052.0","2484083.0","0.4851689738225333"
"112_飲料","112","飲料","","","55416.0","6699096.0","0.8272160900515533"
"112_飲料_1121-01_清酒","112","飲料","1121-01","清酒","1298.0","353151.0","0.3675481592859711"
"112_飲料_1121-02_ビール類","112","飲料","1121-02","ビール類","44.0","1422759.0","0.0030925827916041997"
"112_飲料_1121-03_ウイスキー類","112","飲料","1121-03","ウイスキー類","0.0","70148.0","0.0"
"112_飲料_1121-09_その他の酒類","112","飲料","1121-09","その他の酒類","2616.0","1328967.0","0.1968446169092235"
"112_飲料_1129-01_茶・コーヒー","112","飲料","1129-01","茶・コーヒー","122.0","895350.0","0.013625956329926843"
"112_飲料_1129-02_清涼飲料","112","飲料","1129-02","清涼飲料","50941.0","2583025.0","1.9721450624751988"
"112_飲料_1129-03_製氷","112","飲料","1129-03","製氷","395.0","45696.0","0.8644082633053222"
"113_飼料・有機質肥料（別掲を除く。）","112","飲料","","","1396.0","1123846.0","0.12421630721646916"
"113_飼料・有機質肥料（別掲を除く。）_1131-01_飼料","113","飼料・有機質肥料（別掲を除く。）","1131-01","飼料","1122.0","1058705.0","0.10597853037437245"
"113_飼料・有機質肥料（別掲を除く。）_1131-02_有機質肥料（別掲を除く。）","113","飼料・有機質肥料（別掲を除く。）","1131-02","有機質肥料（別掲を除く。）","274.0","65141.0","0.4206260266191799"
"114_たばこ","114","たばこ","","","0.0","2097749.0","0.0"
"114_たばこ_1141-01_たばこ","114","たばこ","1141-01","たばこ","0.0","2097749.0","0.0"
"151_繊維工業製品","151","繊維工業製品","","","38645.0","1325093.0","2.916399075385652"
"151_繊維工業製品_1511-01_紡績糸","151","繊維工業製品","1511-01","紡績糸","1292.0","131083.0","0.9856350556517627"
"151_繊維工業製品_1512-01_綿・スフ織物（合繊短繊維織物を含む。）","151","繊維工業製品","1512-01","綿・スフ織物（合繊短繊維織物を含む。）","3359.0","114128.0","2.9431865975045564"
"151_繊維工業製品_1512-02_絹・人絹織物（合繊長繊維織物を含む。）","151","繊維工業製品","1512-02","絹・人絹織物（合繊長繊維織物を含む。）","128.0","129761.0","0.09864288962014782"
"151_繊維工業製品_1512-09_その他の織物","151","繊維工業製品","1512-09","その他の織物","1909.0","166835.0","1.144244313243624"
"151_繊維工業製品_1513-01_ニット生地","151","繊維工業製品","1513-01","ニット生地","17695.0","86170.0","20.534988975281422"
"151_繊維工業製品_1514-01_染色整理","151","繊維工業製品","1514-01","染色整理","10470.0","306534.0","3.415608056528803"
"151_繊維工業製品_1519-09_その他の繊維工業製品","151","繊維工業製品","1519-09","その他の繊維工業製品","3792.0","390582.0","0.9708588721446457"
"152_衣服・その他の繊維既製品","152","衣服・その他の繊維既製品","","","22736.0","2029049.0","1.120524935573266"
"152_衣服・その他の繊維既製品_1521-01_織物製衣服","152","衣服・その他の繊維既製品","1521-01","織物製衣服","3787.0","791073.0","0.47871688200709667"
"152_衣服・その他の繊維既製品_1521-02_ニット製衣服","152","衣服・その他の繊維既製品","1521-02","ニット製衣服","4262.0","364877.0","1.1680648547318686"
"152_衣服・その他の繊維既製品_1522-09_その他の衣服・身の回り品","152","衣服・その他の繊維既製品","1522-09","その他の衣服・身の回り品","2868.0","168990.0","1.6971418427125864"
"152_衣服・その他の繊維既製品_1529-01_寝具","152","衣服・その他の繊維既製品","1529-01","寝具","763.0","107574.0","0.7092791938572518"
"152_衣服・その他の繊維既製品_1529-02_じゅうたん・床敷物","152","衣服・その他の繊維既製品","1529-02","じゅうたん・床敷物","6103.0","129049.0","4.729211384822819"
"152_衣服・その他の繊維既製品_1529-09_その他の繊維既製品","152","衣服・その他の繊維既製品","1529-09","その他の繊維既製品","4953.0","467486.0","1.0594969688931861"
"161_木材・木製品","161","木材・木製品","","","27863.0","1920410.0","1.4508880916054383"
"161_木材・木製品_1611-01_製材","161","木材・木製品","1611-01","製材","8967.0","499990.0","1.7934358687173741"
"161_木材・木製品_1611-02_合板・集成材","161","木材・木製品","1611-02","合板・集成材","4974.0","500716.0","0.9933774834437087"
"161_木材・木製品_1611-03_木材チップ","161","木材・木製品","1611-03","木材チップ","230.0","75602.0","0.3042247559588371"
"161_木材・木製品_1619-09_その他の木製品","161","木材・木製品","1619-09","その他の木製品","13692.0","844102.0","1.6220788482908464"
"162_家具・装備品","162","家具・装備品","","","16436.0","1733822.0","0.9479635164394038"
"162_家具・装備品_1621-01_木製家具","162","家具・装備品","1621-01","木製家具","4711.0","728919.0","0.6462995202484776"
